Player,Season,Age,Team,Cmp,PassAtt,Cmp_p,PassYds,PassTD,Int,PassTD_p,Int_p,Pos,ID
Dorian Thompson-Robinson,2023,24,CLE,60,112,53.6,440,1,4,0.9,3.6,QB,ThomDo02
P.J. Walker,2023,28,CLE,54,111,48.6,674,1,5,0.9,4.5,QB,WalkPh00
Mitchell Trubisky,2023,29,PIT,67,107,62.6,632,4,5,3.7,4.7,QB,TrubMi00
P.J. Walker,2022,27,CAR,63,106,59.4,731,3,3,2.8,2.8,QB,WalkPh00
Michael Penix,2024,24,ATL,61,105,58.1,775,3,3,2.9,2.9,QB,PeniMi00
Skylar Thompson,2022,25,MIA,60,105,57.1,534,1,3,1,2.9,QB,ThomSk00
Sam Ehlinger,2022,24,IND,64,101,63.4,573,3,3,3,3,QB,EhliSa00
Bailey Zappe,2022,23,NWE,65,92,70.7,781,5,3,5.4,3.3,QB,ZappBa00
Brett Rypien,2022,26,DEN,53,88,60.2,483,2,4,2.3,4.5,QB,RypiBr00
Desmond Ridder,2024,25,LVR,52,85,61.2,458,2,2,2.4,2.4,QB,RiddDe00
Anthony Richardson,2023,21,IND,50,84,59.5,577,3,1,3.6,1.2,QB,RichAn03
Trace McSorley,2022,27,ARI,45,83,54.2,412,0,5,0,6,QB,McSoTr00
Jarrett Stidham,2022,26,LVR,53,83,63.9,656,4,3,4.8,3.6,QB,StidJa00
Teddy Bridgewater,2022,30,MIA,49,79,62,683,4,4,5.1,5.1,QB,BridTe00
Kyle Allen,2022,26,HOU,46,78,59,416,2,4,2.6,5.1,QB,AlleKy00
Tim Boyle,2023,29,NYJ,48,77,62.3,360,1,4,1.3,5.2,QB,BoylTi00
Drew Lock,2023,27,SEA,48,76,63.2,543,3,3,3.9,3.9,QB,LockDr00
Gardner Minshew II,2022,26,PHI,44,76,57.9,663,3,3,3.9,3.9,QB,MinsGa00
Mason Rudolph,2023,28,PIT,55,74,74.3,719,3,0,4.1,0,QB,RudoMa00
Joshua Dobbs,2022,27,TEN,40,68,58.8,411,2,2,2.9,2.9,QB,DobbJo00
Jarrett Stidham,2023,27,DEN,40,66,60.6,496,2,1,3,1.5,QB,StidJa00
John Wolford,2022,27,LAR,38,62,61.3,390,1,3,1.6,4.8,QB,WolfJo00
Malik Willis,2022,23,TEN,31,61,50.8,276,0,3,0,4.9,QB,WillMa12
David Blough,2022,27,ARI,38,58,65.5,402,2,2,3.4,3.4,QB,BlouDa00
Andy Dalton,2023,36,CAR,34,58,58.6,361,2,0,3.4,0,QB,DaltAn00
Malik Willis,2024,25,GNB,40,54,74.1,550,3,0,5.6,0,QB,WillMa12
C.J. Beathard,2023,30,JAX,40,53,75.5,349,1,0,1.9,0,QB,BeatC.00
Case Keenum,2023,35,HOU,34,53,64.2,291,1,3,1.9,5.7,QB,KeenCa00
Tim Boyle,2024,30,MIANYG,27,50,54,276,1,1,2,2,QB,BoylTi00
Anthony Brown,2022,24,BAL,22,49,44.9,302,0,2,0,4.1,QB,BrowAn06
Joshua Dobbs,2024,29,SFO,32,47,68.1,361,2,2,4.3,4.3,QB,DobbJo00
Jameis Winston,2023,29,NOR,25,47,53.2,264,2,3,4.3,6.4,QB,WinsJa00
Sam Darnold,2023,26,SFO,28,46,60.9,297,2,1,4.3,2.2,QB,DarnSa00
Tanner McKee,2024,24,PHI,30,45,66.7,323,4,0,8.9,0,QB,McKeTa01
Tommy DeVito,2024,26,NYG,31,44,70.5,257,0,0,0,0,QB,DeViTo00
Marcus Mariota,2024,31,WAS,34,44,77.3,364,4,0,9.1,0,QB,MariMa01
Nick Foles,2022,33,IND,25,42,59.5,224,0,4,0,9.5,QB,FoleNi00
Brian Hoyer,2023,38,LVR,23,42,54.8,231,0,2,0,4.8,QB,HoyeBr00
Kenny Pickett,2024,26,PHI,25,42,59.5,291,2,1,4.8,2.4,QB,PickKe00
Jimmy Garoppolo,2024,33,LAR,27,41,65.9,334,2,1,4.9,2.4,QB,GaroJi00
Trey Lance,2024,24,DAL,25,41,61,266,0,1,0,2.4,QB,LancTr00
Davis Webb,2022,27,NYG,23,40,57.5,168,1,0,2.5,0,QB,WebbDa00
Jake Haener,2024,25,NOR,18,39,46.2,226,1,1,2.6,2.6,QB,HaenJa00
Davis Mills,2023,25,HOU,18,39,46.2,173,2,0,5.1,0,QB,MillDa02
Brett Rypien,2023,27,LAR,18,38,47.4,172,0,1,0,2.6,QB,RypiBr00
Tyler Huntley,2023,25,BAL,21,37,56.8,203,3,0,8.1,0,QB,HuntTy01
Davis Mills,2024,26,HOU,20,36,55.6,212,0,0,0,0,QB,MillDa02
Blaine Gabbert,2023,34,KAN,18,35,51.4,185,0,3,0,8.6,QB,GabbBl00
Bryce Perkins,2022,26,LAR,19,34,55.9,161,1,2,2.9,5.9,QB,PerkBr02
Skylar Thompson,2024,27,MIA,21,33,63.6,187,0,0,0,0,QB,ThomSk00
Trey Lance,2022,22,SFO,15,31,48.4,194,0,1,0,3.2,QB,LancTr00
