Player,Season,Age,Team,RushAtt,RushYds,RushTD,Pos,ID
Jonathan Taylor,2023,24,IND,169,741,7,RB,TaylJo02
Tank Bigsby,2024,23,JAX,168,766,7,RB,BigsTa00
Jalen Hurts,2022,24,PHI,165,760,13,QB,HurtJa00
Justin Fields,2022,23,CHI,160,1143,8,QB,FielJu00
Jalen Hurts,2023,25,PHI,157,605,15,QB,HurtJa00
Rhamondre Stevenson,2023,25,NWE,156,619,4,RB,StevRh00
Jordan Mason,2024,25,SFO,153,789,3,RB,MasoJo00
Kenneth Walker III,2024,24,SEA,153,573,7,RB,WalkKe00
Travis Etienne,2024,25,JAX,150,558,2,RB,EtieTr00
Jalen Hurts,2024,26,PHI,150,630,14,QB,HurtJa00
Antonio Gibson,2022,24,WAS,149,546,3,RB,GibsAn00
Jaylen Warren,2023,25,PIT,149,784,4,RB,WarrJa01
Jayden Daniels,2024,24,WAS,148,891,6,QB,DaniJa02
Lamar Jackson,2023,26,BAL,148,821,5,QB,JackLa00
Dameon Pierce,2023,23,HOU,145,416,2,RB,PierDa01
Cordarrelle Patterson,2022,31,ATL,144,695,8,RB,PattCo00
Rachaad White,2024,25,TAM,144,613,3,RB,WhitRa01
Aaron Jones,2023,29,GNB,142,656,2,RB,JoneAa00
Lamar Jackson,2024,27,BAL,139,915,4,QB,JackLa00
Javonte Williams,2024,24,DEN,139,513,4,RB,WillJa10
Tyler Allgeier,2024,24,ATL,137,644,3,RB,AllgTy00
Zach Charbonnet,2024,23,SEA,135,569,8,RB,CharZa00
Kareem Hunt,2023,28,CLE,135,411,9,RB,HuntKa00
Khalil Herbert,2023,25,CHI,132,611,2,RB,HerbKh00
Alexander Mattison,2024,26,LVR,132,420,4,RB,MattAl01
Khalil Herbert,2022,24,CHI,129,731,4,RB,HerbKh00
Miles Sanders,2023,26,CAR,129,432,1,RB,SandMi01
Rachaad White,2022,23,TAM,129,481,1,RB,WhitRa01
Josh Allen,2022,26,BUF,124,762,7,QB,AlleJo02
Justin Fields,2023,24,CHI,124,657,4,QB,FielJu00
Kareem Hunt,2022,27,CLE,123,468,3,RB,HuntKa00
