Player,Season,Age,Team,Tgt,Rec,RecYds,RecTD,Pos,ID
Rex Burkhead,2022,32,HOU,51,37,204,1,RB,BurkRe00
Justice Hill,2024,27,BAL,51,42,383,3,RB,HillJu00
Samaje Perine,2022,27,CIN,51,38,287,4,RB,PeriSa00
Sterling Shepard,2024,31,TAM,51,32,334,1,WR,ShepSt00
Trent Sherfield,2022,26,MIA,51,30,417,2,WR,SherTr00
Rhamondre Stevenson,2023,25,NWE,51,38,238,0,RB,StevRh00
Parker Washington,2024,22,JAX,51,32,390,3,WR,WashPa01
Quez Watkins,2022,24,PHI,51,33,354,3,WR,WatkQu00
Randall Cobb,2022,32,GNB,50,34,417,1,WR,CobbRa00
Greg Dortch,2024,26,ARI,50,37,342,3,WR,DortGr01
Kylen Granson,2023,25,IND,50,30,368,1,TE,GranKy00
Mack Hollins,2024,31,BUF,50,31,378,5,WR,HollMa00
Tanner Hudson,2023,29,CIN,50,39,352,1,TE,HudsTa00
Hunter Renfrow,2022,27,LVR,50,36,330,2,WR,RenfHu00
Nick Westbrook-Ikhine,2022,25,TEN,50,25,397,3,WR,WestNi00
Rico Dowdle,2024,26,DAL,49,39,249,3,RB,DowdRi01
Devin Duvernay,2022,25,BAL,49,37,407,3,WR,DuveDe00
Noah Gray,2024,25,KAN,49,40,437,5,TE,GrayNo00
Allen Lazard,2023,28,NYJ,49,23,311,1,WR,LazaAl00
Isiah Pacheco,2023,24,KAN,49,44,244,2,RB,PachIs00
Colby Parkinson,2024,25,LAR,49,30,294,1,TE,ParkCo02
Allen Robinson,2023,30,PIT,49,34,280,0,WR,RobiAl02
D'Andre Swift,2023,24,PHI,49,39,214,1,RB,SwifDA00
Cedric Tillman,2024,24,CLE,49,29,339,3,WR,TillCe01
Kendrick Bourne,2022,27,NWE,48,35,434,1,WR,BourKe00
Najee Harris,2024,26,PIT,48,36,283,0,RB,HarrNa00
Isaiah Hodgins,2022,24,BUFNYG,48,37,392,4,WR,HodgIs00
Alexander Mattison,2024,26,LVR,48,36,294,1,RB,MattAl01
Kyren Williams,2023,23,LAR,48,32,206,3,RB,WillKy02
Ameer Abdullah,2024,31,LVR,47,40,261,3,RB,AbduAm00
Brandon Aiyuk,2024,26,SFO,47,25,374,0,WR,AiyuBr00
Pat Freiermuth,2023,25,PIT,47,32,308,2,TE,FreiPa00
A.J. Green,2022,34,ARI,47,24,236,2,WR,GreeA.00
Christian Kirk,2024,28,JAX,47,27,379,1,WR,KirkCh01
Terrace Marshall Jr.,2022,22,CAR,47,28,490,1,WR,MarsTe00
DeVante Parker,2022,29,NWE,47,31,539,3,WR,ParkDe01
JuJu Smith-Schuster,2023,27,NWE,47,29,260,1,WR,SmitJu00
Jaylen Warren,2024,26,PIT,47,38,310,0,RB,WarrJa01
Jalen Coker,2024,23,CAR,46,32,478,2,WR,CokeJa01
Luke Musgrave,2023,23,GNB,46,34,352,1,TE,MusgLu00
Chigoziem Okonkwo,2022,23,TEN,46,32,450,3,TE,OkonCh00
Ricky Pearsall,2024,24,SFO,46,31,400,3,WR,PearRi00
Curtis Samuel,2024,28,BUF,46,31,253,1,WR,SamuCu00
Nelson Agholor,2023,30,BAL,45,35,381,4,WR,AghoNe00
Travis Etienne,2022,23,JAX,45,35,316,0,RB,EtieTr00
Mike Gesicki,2023,28,NWE,45,29,244,2,TE,GesiMi00
Lil'Jordan Humphrey,2024,26,DEN,45,31,293,1,WR,HumpLi01
Khalil Shakir,2023,23,BUF,45,39,611,2,WR,ShakKh00
Tyquan Thornton,2022,22,NWE,45,22,247,2,WR,ThorTy00
Nick Westbrook-Ikhine,2023,26,TEN,45,28,370,3,WR,WestNi00
Robbie Chosen,2022,29,CARARI,44,20,282,1,WR,AndeRo04
Chuba Hubbard,2023,24,CAR,44,39,233,0,RB,HubbCh01
Kareem Hunt,2022,27,CLE,44,35,210,1,RB,HuntKa00
Van Jefferson,2022,26,LAR,44,24,369,3,WR,JeffVa00
Alexander Mattison,2023,25,MIN,44,30,192,3,RB,MattAl01
Chris Olave,2024,24,NOR,44,32,400,1,WR,OlavCh00
Tim Patrick,2024,31,DET,44,33,394,3,WR,PatrTi00
Brandon Powell,2023,28,MIN,44,29,324,1,WR,PoweBr00
Kalif Raymond,2023,29,DET,44,35,489,1,WR,RaymKa00
Cedric Tillman,2023,23,CLE,44,21,224,0,WR,TillCe01
Marquez Valdes-Scantling,2024,30,BUFNOR,44,19,411,4,WR,ValdMa00
Saquon Barkley,2024,27,PHI,43,33,278,2,RB,BarkSa00
AJ Dillon,2022,24,GNB,43,28,206,0,RB,DillAJ00
Zach Ertz,2023,33,ARI,43,27,187,1,TE,ErtzZa00
Noah Fant,2023,26,SEA,43,32,414,0,TE,FantNo00
Jerome Ford,2024,25,CLE,43,37,225,0,RB,FordJe00
Josh Jacobs,2024,26,GNB,43,36,342,1,RB,JacoJo01
Van Jefferson,2023,27,ATLLAR,43,20,209,0,WR,JeffVa00
Theo Johnson,2024,23,NYG,43,29,331,1,TE,JohnTh00
Aaron Jones,2023,29,GNB,43,30,233,1,RB,JoneAa00
Julio Jones,2022,33,TAM,43,24,299,2,WR,JoneJu02
Foster Moreau,2024,27,NOR,43,32,413,5,TE,MoreFo00
Brian Robinson Jr.,2023,24,WAS,43,36,368,4,RB,RobiBr01
Ja'Tavion Sanders,2024,21,CAR,43,33,342,1,TE,SandJa01
Durham Smythe,2023,28,MIA,43,35,366,0,TE,SmytDu00
Darren Waller,2022,30,LVR,43,28,388,3,TE,WallDa01
Harrison Bryant,2022,24,CLE,42,31,239,1,TE,BryaHa00
Gabriel Davis,2024,25,JAX,42,20,239,2,WR,DaviGa01
Marquise Goodwin,2022,32,SEA,42,27,387,4,WR,GoodMa00
Jonathan Mingo,2024,23,CARDAL,42,17,167,0,WR,MingJo00
Raheem Mostert,2022,30,MIA,42,31,202,2,RB,MostRa00
Jalen Nailor,2024,25,MIN,42,28,414,6,WR,NailJa00
Marquez Valdes-Scantling,2023,29,KAN,42,21,315,1,WR,ValdMa00
Jameson Williams,2023,22,DET,42,24,354,2,WR,WillJa11
Greg Dortch,2023,25,ARI,41,24,280,2,WR,DortGr01
Austin Ekeler,2024,29,WAS,41,35,366,0,RB,EkelAu00
Noah Gray,2023,24,KAN,41,28,305,2,TE,GrayNo00
Derrick Henry,2022,28,TEN,41,33,398,0,RB,HenrDe00
Tyler Johnson,2024,26,LAR,41,26,291,1,WR,JohnTy00
Donald Parham,2023,26,LAC,41,27,285,4,TE,ParhDo00
Dante Pettis,2022,27,CHI,41,19,245,3,WR,PettDa00
Miles Sanders,2023,26,CAR,41,27,154,0,RB,SandMi01
Rashid Shaheed,2024,26,NOR,41,20,349,3,WR,ShahRa00
Shi Smith,2022,24,CAR,41,22,296,2,WR,SmitSh03
Rhamondre Stevenson,2024,26,NWE,41,33,168,1,RB,StevRh00
Dyami Brown,2024,25,WAS,40,30,308,1,WR,BrowDy00
Zach Charbonnet,2023,22,SEA,40,33,209,0,RB,CharZa00
Phillip Dorsett,2022,29,HOU,40,20,257,1,WR,DorsPh00
Kylen Granson,2022,24,IND,40,31,302,0,TE,GranKy00
Taysom Hill,2023,33,NOR,40,33,291,2,TE/QB,HillTa00
Jalin Hyatt,2023,22,NYG,40,23,373,0,WR,HyatJa00
Van Jefferson,2024,28,PIT,40,24,276,2,WR,JeffVa00
Roschon Johnson,2023,22,CHI,40,34,209,0,RB,JohnRo07
Tucker Kraft,2023,23,GNB,40,31,355,2,TE,KrafTu00
Isaiah Likely,2023,23,BAL,40,30,411,5,TE,LikeIs00
Michael Mayer,2023,22,LVR,40,27,304,2,TE,MayeMi00
J.D. McKissic,2022,29,WAS,40,27,173,0,RB,McKiJ.00
Scott Miller,2022,25,TAM,40,23,185,0,WR,MillSc01
David Montgomery,2022,25,CHI,40,34,316,1,RB,MontDa01
Jonathan Taylor,2022,23,IND,40,28,143,0,RB,TaylJo02
Kyren Williams,2024,24,LAR,40,34,182,2,RB,WillKy02
Jelani Woods,2022,24,IND,40,25,312,3,TE,WoodJe01
Justice Hill,2023,26,BAL,39,28,206,1,RB,HillJu00
Jarvis Landry,2022,30,NOR,39,25,272,1,WR,LandJa00
Trey McBride,2022,23,ARI,39,29,265,1,TE,McBrTr01
Dameon Pierce,2022,22,HOU,39,30,165,1,RB,PierDa01
Demarcus Robinson,2023,29,LAR,39,26,371,4,WR,RobiDe01
AJ Barner,2024,22,SEA,38,30,245,4,TE,BarnAJ00
Kendrick Bourne,2024,29,NWE,38,28,305,1,WR,BourKe00
Cameron Brate,2022,31,TAM,38,20,174,0,TE,BratCa00
James Cook,2024,25,BUF,38,32,258,2,RB,CookJa01
Will Dissly,2022,26,SEA,38,34,349,3,TE,DissWi00
J.K. Dobbins,2024,26,LAC,38,32,153,0,RB,DobbJK00
Xavier Gipson,2023,22,NYJ,38,21,229,0,WR,GipsXa00
Najee Harris,2023,25,PIT,38,29,170,0,RB,HarrNa00
David Montgomery,2024,27,DET,38,36,341,0,RB,MontDa01
Skyy Moore,2023,23,KAN,38,21,244,1,WR,MoorSk01
Devin Singletary,2023,26,HOU,38,30,193,0,RB,SingDe00
Jonnu Smith,2022,27,NWE,38,27,245,0,TE,SmitJo01
Equanimeous St. Brown,2022,26,CHI,38,21,323,1,WR,St.BEq00
Kadarius Toney,2023,24,KAN,38,27,169,1,WR,ToneKa00
Cedrick Wilson Jr.,2023,28,MIA,38,22,296,3,WR,WilsCe01
De'Von Achane,2023,22,MIA,37,27,197,3,RB,AchaDe00
Nick Chubb,2022,27,CLE,37,27,239,1,RB,ChubNi00
Kenneth Gainwell,2023,24,PHI,37,30,183,0,RB,GainKe00
Nyheim Hines,2022,26,BUFIND,37,30,241,1,RB,HineNy00
John Metchie,2024,24,HOU,37,24,254,1,WR,MetcJo00
Zack Moss,2023,26,IND,37,27,192,2,RB,MossZa00
Hunter Renfrow,2023,28,LVR,37,25,255,0,WR,RenfHu00
Kenneth Walker III,2023,23,SEA,37,29,259,1,RB,WalkKe00
Josh Whyle,2024,25,TEN,37,28,248,1,TE,WhylJo01
Jeff Wilson,2022,27,MIASFO,37,22,185,1,RB,WilsJe01
Derrick Henry,2023,29,TEN,36,28,214,0,RB,HenrDe00
Dawson Knox,2023,27,BUF,36,22,186,2,TE,KnoxDa00
Jaleel McLaughlin,2023,23,DEN,36,31,160,2,RB,McLaJa00
Luke Schoonmaker,2024,26,DAL,36,27,241,1,TE,SchoLu00
Irv Smith Jr.,2022,24,MIN,36,25,182,2,TE,SmitIr01
Jalen Tolbert,2023,24,DAL,36,22,268,2,WR,TolbJa00
Malik Washington,2024,23,MIA,36,26,223,0,WR,WashMa00
Tutu Atwell,2022,23,LAR,35,18,298,1,WR,AtweTu00
Daniel Bellinger,2022,22,NYG,35,30,268,2,TE,BellDa00
David Bell,2022,22,CLE,35,24,214,0,WR,BellDa02
Chris Moore,2023,30,TEN,35,22,424,0,WR,MoorCh00
Latavius Murray,2022,32,DENNOR,35,27,132,0,RB,MurrLa00
Samaje Perine,2024,29,KAN,35,28,322,1,RB,PeriSa00
Tyjae Spears,2024,23,TEN,35,30,224,1,RB,SpeaTy00
Adam Trautman,2023,26,DEN,35,22,204,3,TE,TrauAd00
Kenneth Walker III,2022,22,SEA,35,27,165,0,RB,WalkKe00
Eno Benjamin,2022,23,ARIHOUNOR,34,25,193,0,RB,BenjEn00
Noah Gray,2022,23,KAN,34,28,299,1,TE,GrayNo00
Mecole Hardman,2022,24,KAN,34,25,297,4,WR,HardMe00
Connor Heyward,2023,24,PIT,34,23,167,0,TE,HeywCo00
Deon Jackson,2022,23,IND,34,30,209,1,RB,JackDe02
Colby Parkinson,2022,23,SEA,34,25,322,2,TE,ParkCo02
Colby Parkinson,2023,24,SEA,34,25,247,2,TE,ParkCo02
Rashid Shaheed,2022,24,NOR,34,28,488,2,WR,ShahRa00
Tre Tucker,2023,22,LVR,34,19,331,2,WR,TuckTr00
Justin Watson,2022,26,KAN,34,15,315,2,WR,WatsJu01
Mike Williams,2024,30,NYJPIT,34,21,298,1,WR,WillMi07
Braxton Berrios,2023,28,MIA,33,27,238,1,WR,BerrBr00
James Conner,2023,28,ARI,33,27,165,2,RB,ConnJa00
Jahan Dotson,2024,24,PHI,33,19,216,0,WR,DotsJa00
Kendall Hinton,2022,25,DEN,33,24,311,0,WR,HintKe00
Isaiah Hodgins,2023,25,NYG,33,21,230,3,WR,HodgIs00
Jauan Jennings,2023,26,SFO,33,19,265,1,WR,JennJa00
Dawson Knox,2024,28,BUF,33,22,311,1,TE,KnoxDa00
Terrace Marshall Jr.,2023,23,CAR,33,19,139,0,WR,MarsTe00
Marvin Mims,2023,21,DEN,33,22,377,1,WR,MimsMa00
Skyy Moore,2022,22,KAN,33,22,250,0,WR,MoorSk01
Ja'Lynn Polk,2024,22,NWE,33,12,87,2,WR,PolkJa00
Jaylen Warren,2022,24,PIT,33,28,214,0,RB,WarrJa01
Ameer Abdullah,2022,29,LVR,32,25,211,1,RB,AbduAm00
Braxton Berrios,2022,27,NYJ,32,18,145,0,WR,BerrBr00
Marquez Callaway,2022,24,NOR,32,16,158,1,WR,CallMa01
James Cook,2022,23,BUF,32,21,180,1,RB,CookJa01
Melvin Gordon,2022,29,DEN,32,25,223,0,RB,GordMe00
Kareem Hunt,2024,29,KAN,32,23,176,0,RB,HuntKa00
Hayden Hurst,2023,30,CAR,32,18,184,1,TE,HursHa00
Trenton Irwin,2023,28,CIN,32,25,316,1,WR,IrwiTr00
Michael Mayer,2024,23,LVR,32,21,156,0,TE,MayeMi00
Jerick McKinnon,2023,31,KAN,32,25,192,4,RB,McKiJe00
Raheem Mostert,2023,31,MIA,32,25,175,3,RB,MostRa00
Brandon Powell,2022,27,LAR,32,24,156,0,WR,PoweBr00
Tyler Scott,2023,22,CHI,32,17,168,0,WR,ScotTy00
Laviska Shenault Jr.,2022,24,CAR,32,27,272,1,WR,ShenLa00
Tommy Tremble,2022,22,CAR,32,19,174,3,TE,TremTo00
Tommy Tremble,2023,23,CAR,32,23,194,3,TE,TremTo00
Tommy Tremble,2024,24,CAR,32,23,234,2,TE,TremTo00
Justin Watson,2024,28,KAN,32,22,289,2,WR,WatsJu01
Michael Carter,2023,24,ARINYJ,31,24,101,1,RB,CartMi03
Kylen Granson,2024,26,IND,31,14,182,0,TE,GranKy00
Breece Hall,2022,21,NYJ,31,19,218,1,RB,HallBr03
Khalil Herbert,2023,25,CHI,31,20,134,1,RB,HerbKh00
Taysom Hill,2024,34,NOR,31,23,187,0,TE,HillTa00
Austin Hooper,2023,29,LVR,31,25,234,0,TE,HoopAu00
Kyle Juszczyk,2024,33,SFO,31,19,200,2,FB,JuszKy00
Cordarrelle Patterson,2022,31,ATL,31,21,122,0,RB,PattCo00
Wan'Dale Robinson,2022,21,NYG,31,23,227,1,WR,RobiWa01
Jonathan Taylor,2024,25,IND,31,18,136,1,RB,TaylJo02
Jamal Agnew,2022,27,JAX,30,23,187,3,WR,AgneJa00
Calvin Austin III,2023,24,PIT,30,17,180,1,WR,AustCa00
Jalen Brooks,2024,24,DAL,30,12,177,1,WR,BrooJa03
Treylon Burks,2023,23,TEN,30,16,221,0,WR,BurkTr00
Grant Calcaterra,2024,26,PHI,30,24,298,1,TE,CalcGr00
Emari Demercado,2023,24,ARI,30,21,119,0,RB,DemeEm00
Mack Hollins,2023,30,ATL,30,18,251,0,WR,HollMa00
Brandon Johnson,2023,25,DEN,30,19,284,4,WR,JohnBr23
John Metchie,2023,23,HOU,30,16,158,0,WR,MetcJo00
Miles Sanders,2024,27,CAR,30,24,148,1,RB,SandMi01
Ian Thomas,2022,26,CAR,30,21,197,0,TE,ThomIa00
Robert Woods,2024,32,HOU,30,20,203,0,WR,WoodRo02
Nelson Agholor,2024,31,BAL,29,14,231,2,WR,AghoNe00
Alex Erickson,2023,31,LAC,29,16,232,1,WR,EricAl01
Kenneth Gainwell,2022,23,PHI,29,23,169,0,RB,GainKe00
Antonio Gibson,2024,26,NWE,29,23,206,0,RB,GibsAn00
Rashee Rice,2024,24,KAN,29,24,288,2,WR,RiceRa01
DJ Turner,2024,27,LVR,29,16,158,1,WR,TurnDJ00
Mo Alie-Cox,2022,29,IND,28,19,189,3,TE,AlieMo00
John Bates,2023,26,WAS,28,19,151,0,TE,BateJo00
Rashod Bateman,2022,23,BAL,28,15,285,2,WR,BateRa00
Daniel Bellinger,2023,23,NYG,28,25,255,0,TE,BellDa00
AJ Dillon,2023,25,GNB,28,22,223,0,RB,DillAJ00
Brevin Jordan,2022,22,HOU,28,14,128,0,TE,JordBr00
Dare Ogunbowale,2024,30,HOU,28,19,198,1,RB,OgunDa00
Josh Oliver,2023,26,MIN,28,22,213,2,TE,OlivJo00
Josh Oliver,2024,27,MIN,28,22,258,3,TE,OlivJo00
Dante Pettis,2024,29,NOR,28,12,120,1,WR,PettDa00
Jeremy Ruckert,2024,24,NYJ,28,18,105,0,TE,RuckJe00
Jordan Whittington,2024,24,LAR,28,22,293,0,WR,WhitJo04
Braelon Allen,2024,20,NYJ,27,19,148,1,RB,AlleBr05
Parris Campbell,2023,26,NYG,27,20,104,0,WR,CampPa00
Jaleel McLaughlin,2024,24,DEN,27,24,76,2,RB,McLaJa00
Zack Moss,2024,27,CIN,27,23,187,1,RB,MossZa00
Johnny Mundt,2024,30,MIN,27,19,142,2,TE,MundJo00
Drew Sample,2023,27,CIN,27,22,163,2,TE,SampDr00
Tre'Quan Smith,2022,26,NOR,27,19,278,1,WR,SmitTr03
C.J. Uzomah,2022,29,NYJ,27,21,232,2,TE,UzomC.00
Sammy Watkins,2022,29,GNBBAL,27,16,325,0,WR,WatkSa00
Cedrick Wilson Jr.,2024,29,NOR,27,20,211,1,WR,WilsCe01
Kenyan Drake,2022,28,BAL,26,17,89,1,RB,DrakKe00
Jamycal Hasty,2022,26,JAX,26,20,126,1,RB,HastJa02
Dontrell Hilliard,2022,27,TEN,26,21,177,4,RB,HillDo00
Xavier Hutchinson,2024,24,HOU,26,12,117,0,WR,HutcXa00
Will Mallory,2023,24,IND,26,18,207,0,TE,MallWi00
Dare Ogunbowale,2022,28,HOU,26,20,104,0,RB,OgunDa00
Miles Sanders,2022,25,PHI,26,20,78,0,RB,SandMi01
Irv Smith Jr.,2023,25,CIN,26,18,115,1,TE,SmitIr01
JuJu Smith-Schuster,2024,28,KAN,26,18,231,2,WR,SmitJu00
Mason Tipton,2024,24,NOR,26,14,99,0,WR,TiptMa00
Mike Williams,2023,29,LAC,26,19,249,1,WR,WillMi07
Jake Bobo,2023,25,SEA,25,19,196,2,WR,BoboJa00
Matt Breida,2022,27,NYG,25,20,118,0,RB,BreiMa00
Ty Chandler,2023,25,MIN,25,21,159,0,RB,ChanTy01
Andrei Iosivas,2023,24,CIN,25,15,116,4,WR,IosiAn00
Ty Johnson,2024,27,BUF,25,18,284,3,RB,JohnTy02
Joshua Kelley,2022,25,LAC,25,14,101,0,RB,KellJo01
Ray-Ray McCloud,2022,26,SFO,25,14,243,1,WR,McClRa00
Denzel Mims,2022,25,NYJ,25,11,186,0,WR,MimsDe00
Foster Moreau,2023,26,NOR,25,21,193,1,TE,MoreFo00
Josh Oliver,2022,25,BAL,25,14,149,2,TE,OlivJo00
Donovan Peoples-Jones,2023,24,CLEDET,25,13,155,0,WR,PeopDo00
Brian Robinson Jr.,2024,25,WAS,25,20,159,0,RB,RobiBr01
Amari Rodgers,2022,23,GNBHOU,25,16,204,1,WR,RodgAm00
Deven Thompkins,2023,24,TAM,25,17,83,1,WR,ThomDe07
Darnell Washington,2024,23,PIT,25,19,200,1,TE,WashDa03
Ameer Abdullah,2023,30,LVR,24,19,131,0,RB,AbduAm00
Chase Edmonds,2022,26,DENMIA,24,16,157,1,RB,EdmoCh00
Mecole Hardman,2023,25,KANNYJ,24,15,124,0,WR,HardMe00
Malik Heath,2023,23,GNB,24,15,125,1,WR,HeatMa00
Elijah Higgins,2024,24,ARI,24,20,172,2,TE,HiggEl00
Ty Johnson,2022,25,NYJ,24,12,88,0,RB,JohnTy02
Luke McCaffrey,2024,23,WAS,24,18,168,0,WR,McCaLu00
Bo Melton,2023,24,GNB,24,16,218,1,WR,MeltBo00
David Montgomery,2023,26,DET,24,16,117,0,RB,MontDa01
Josh Reynolds,2024,29,DENJAX,24,13,194,1,WR,ReynJo00
Eric Saubert,2022,28,DEN,24,15,148,1,TE,SaubEr00
Sterling Shepard,2022,29,NYG,24,13,154,1,WR,ShepSt00
Devin Singletary,2024,27,NYG,24,21,119,0,RB,SingDe00
Stephen Sullivan,2023,27,CAR,24,12,125,0,TE,SullSt00
Brock Wright,2022,24,DET,24,18,216,4,TE,WrigBr01
Salvon Ahmed,2023,25,MIA,23,16,88,1,RB,AhmeSa01
Jordan Akins,2023,31,CLE,23,15,132,0,TE,AkinJo00
Tyler Allgeier,2023,23,ATL,23,18,193,1,RB,AllgTy00
David Bell,2023,23,CLE,23,14,167,3,WR,BellDa02
Dyami Brown,2023,24,WAS,23,12,168,1,WR,BrowDy00
Damiere Byrd,2022,29,ATL,23,13,268,2,WR,ByrdDa00
Clyde Edwards-Helaire,2022,23,KAN,23,17,151,3,RB,EdwaCl00
Ezekiel Elliott,2022,27,DAL,23,17,92,0,RB,ElliEz00
Zach Gentry,2022,26,PIT,23,19,132,0,TE,GentZa00
Damien Harris,2022,25,NWE,23,17,97,0,RB,HarrDa06
KhaDarel Hodge,2023,28,ATL,23,14,232,0,WR,HodgKh00
O.J. Howard,2022,28,HOU,23,10,145,2,TE,HowaO.00
Tanner Hudson,2024,30,CIN,23,19,154,1,TE,HudsTa00
Alec Ingold,2022,26,MIA,23,15,105,1,FB,IngoAl01
Trenton Irwin,2022,27,CIN,23,15,231,4,WR,IrwiTr00
Kyle Juszczyk,2022,31,SFO,23,19,200,1,FB,JuszKy00
Lucas Krull,2024,26,DEN,23,19,152,0,TE,KrulLu00
Raheem Mostert,2024,32,MIA,23,19,161,0,RB,MostRa00
Johnny Mundt,2023,29,MIN,23,17,172,1,TE,MundJo00
Jalen Reagor,2023,24,NWE,23,7,138,0,WR,ReagJa00
Steven Sims,2022,25,PIT,23,14,104,0,WR,SimsSt00
Jonathan Taylor,2023,24,IND,23,19,153,1,RB,TaylJo02
Tyquan Thornton,2023,23,NWE,23,13,91,0,WR,ThorTy00
Mo Alie-Cox,2023,30,IND,22,13,161,3,TE,AlieMo00
Mo Alie-Cox,2024,31,IND,22,12,147,1,TE,AlieMo00
Erick All,2024,24,CIN,22,20,158,0,TE,AllxEr00
Kevin Austin,2024,24,NOR,22,11,151,0,WR,AustKe00
John Bates,2022,25,WAS,22,14,108,1,TE,BateJo00
Will Dissly,2023,27,SEA,22,17,172,1,TE,DissWi00
Rico Dowdle,2023,25,DAL,22,17,144,2,RB,DowdRi01
Ashton Dulin,2022,25,IND,22,15,207,1,WR,DuliAs00
Clyde Edwards-Helaire,2023,24,KAN,22,17,188,1,RB,EdwaCl00
Jake Ferguson,2022,23,DAL,22,19,174,2,TE,FergJa00
Kenneth Gainwell,2024,25,PHI,22,16,116,0,RB,GainKe00
Darrell Henderson,2022,25,LAR,22,17,102,0,RB,HendDa00
Derrick Henry,2024,30,BAL,22,19,193,2,RB,HenrDe00
Marcus Johnson,2022,28,NYG,22,9,99,0,WR,JohnMa07
Latavius Murray,2023,33,BUF,22,17,119,0,RB,MurrLa00
Trey Palmer,2024,23,TAM,22,12,172,1,WR,PalmTr00
Kyle Philips,2023,24,TEN,22,15,181,0,WR,PhilKy01
Byron Pringle,2023,30,WAS,22,14,161,0,WR,PrinBy00
Kalif Raymond,2024,30,DET,22,17,215,2,WR,RaymKa00
Jeremy Ruckert,2023,23,NYJ,22,16,151,0,TE,RuckJe00
Drew Sample,2024,28,CIN,22,20,109,1,TE,SampDr00
Sterling Shepard,2023,30,NYG,22,10,57,1,WR,ShepSt00
Trent Sherfield,2023,27,BUF,22,11,86,1,WR,SherTr00
Cade Stover,2024,24,HOU,22,15,133,1,TE,StovCa00
Pierre Strong,2024,26,CLE,22,14,104,0,RB,StroPi00
Michael Thomas,2022,29,NOR,22,16,171,3,WR,ThomMi05
Adam Trautman,2022,25,NOR,22,18,207,1,TE,TrauAd00
Adam Trautman,2024,27,DEN,22,13,188,2,TE,TrauAd00
Javonte Williams,2022,22,DEN,22,16,76,0,RB,WillJa10
Jamal Agnew,2023,28,JAX,21,14,225,1,WR,AgneJa00
Michael Bandy,2022,25,LAC,21,10,89,0,WR,BandMi00
Matt Breida,2023,28,NYG,21,17,88,0,RB,BreiMa00
Chase Claypool,2023,25,CHIMIA,21,8,77,1,WR,ClayCh01
Keelan Cole,2022,29,LVR,21,10,141,1,WR,ColeKe00
Jalen Guyton,2023,26,LAC,21,10,89,1,WR,GuytJa01
Deonte Harty,2023,26,BUF,21,15,150,1,WR,HarrDe07
Kareem Hunt,2023,28,CLE,21,15,84,0,RB,HuntKa00
Brevin Jordan,2023,23,HOU,21,17,219,2,TE,JordBr00
Johnny Mundt,2022,28,MIN,21,19,140,1,TE,MundJo00
Andrew Ogletree,2023,25,IND,21,9,147,2,TE,OgleAn00
MyCole Pruitt,2022,30,ATL,21,16,150,4,TE,PruiMy00
Stone Smartt,2023,25,LAC,21,11,155,1,TE,SmarSt00
Parker Washington,2023,21,JAX,21,16,132,2,WR,WashPa01
Quez Watkins,2023,25,PHI,21,15,142,1,WR,WatkQu00
Pharaoh Brown,2022,28,CLEHOU,20,12,117,0,TE,BrowPh01
Harrison Bryant,2023,25,CLE,20,13,81,3,TE,BryaHa00
Dalvin Cook,2023,28,NYJBAL,20,15,78,0,RB,CookDa01
Jamison Crowder,2023,30,WAS,20,16,159,1,WR,CrowJa00
Emari Demercado,2024,25,ARI,20,16,104,0,RB,DemeEm00
KhaDarel Hodge,2022,27,ATL,20,13,202,1,WR,HodgKh00
Roschon Johnson,2024,23,CHI,20,16,104,0,RB,JohnRo07
Ryan Miller,2024,24,TAM,20,12,128,2,WR,MillRy01
Khalil Shakir,2022,22,BUF,20,10,161,1,WR,ShakKh00
Durham Smythe,2022,27,MIA,20,15,129,1,TE,SmytDu00
Kadarius Toney,2022,23,KANNYG,20,16,171,2,WR,ToneKa00
Nick Vannett,2024,31,TEN,20,17,135,3,TE,VannNi00
Jamaal Williams,2023,28,NOR,20,18,62,0,RB,WillJa06
Olamide Zaccheaus,2023,26,PHI,20,10,164,2,WR,ZaccOl01
Lawrence Cager,2022,25,NYGNYJ,19,13,118,1,WR,CageLa01
DeeJay Dallas,2022,24,SEA,19,17,126,0,RB,DallDe00
Ray Davis,2024,25,BUF,19,17,189,3,RB,DaviRa04
Elijah Higgins,2023,23,ARI,19,14,163,1,TE,HiggEl00
Julian Hill,2024,24,MIA,19,12,100,0,TE,HillJu02
Lil'Jordan Humphrey,2023,25,DEN,19,13,162,3,WR,HumpLi01
Xavier Hutchinson,2023,23,HOU,19,8,90,0,WR,HutcXa00
Jalin Hyatt,2024,23,NYG,19,8,62,0,WR,HyatJa00
Justin Jackson,2022,26,DET,19,12,101,1,RB,JackJu01
D'Ernest Johnson,2024,28,JAX,19,12,96,0,RB,JohnDE04
Julio Jones,2023,34,PHI,19,11,74,3,WR,JoneJu02
Christian McCaffrey,2024,28,SFO,19,15,146,0,RB,McCaCh01
Zach Pascal,2022,28,PHI,19,15,150,1,WR,PascZa00
Breshad Perriman,2022,29,TAM,19,9,110,1,WR,PerrBr02
Trey Sermon,2024,25,IND,19,16,99,0,RB,SermTr00
Stone Smartt,2024,26,LAC,19,16,208,0,TE,SmarSt00
Zamir White,2023,24,LVR,19,15,98,0,RB,WhitZa01
Cam Akers,2022,23,LAR,18,13,117,0,RB,AkerCa00
Cam Akers,2024,25,HOUMIN,18,14,68,3,RB,AkerCa00
