Player,Season,Age,Team,Tgt,Rec,RecYds,RecTD,Pos,ID
Drake London,2023,22,ATL,110,69,905,2,WR,LondDr00
Nico Collins,2023,24,HOU,109,80,1297,8,WR,CollNi00
Tee Higgins,2022,23,CIN,109,74,1029,7,WR,HiggTe00
Tee Higgins,2024,25,CIN,109,73,911,10,WR,HiggTe00
Courtland Sutton,2022,27,DEN,109,64,829,2,WR,SuttCo00
Jordan Addison,2023,21,MIN,108,70,911,10,WR,AddiJo00
Zay Flowers,2023,23,BAL,108,77,858,5,WR,FlowZa00
Tyler Higbee,2022,29,LAR,108,72,620,3,TE,HigbTy00
Christian McCaffrey,2022,26,CARSFO,108,85,741,5,RB,McCaCh01
D.K. Metcalf,2024,27,SEA,108,66,992,5,WR,MetcDK00
Marquise Brown,2022,25,ARI,107,67,709,3,WR,BrowMa04
Josh Downs,2024,23,IND,107,72,803,5,WR,DownJo00
Josh Palmer,2022,23,LAC,107,72,769,3,WR,PalmJo00
Adam Thielen,2022,32,MIN,107,70,716,6,WR,ThieAd00
Trey McBride,2023,24,ARI,106,81,825,3,TE,McBrTr01
Jakobi Meyers,2023,27,LVR,106,71,807,8,WR,MeyeJa01
Darnell Mooney,2024,27,ATL,106,64,992,5,WR,MoonDa00
Puka Nacua,2024,23,LAR,106,79,990,3,WR,NacuPu00
George Pickens,2023,22,PIT,106,63,1140,5,WR,PickGe00
Brandon Aiyuk,2023,25,SFO,105,75,1342,7,WR,AiyuBr00
Elijah Moore,2023,23,CLE,104,59,640,2,WR,MoorEl00
Jaylen Waddle,2023,25,MIA,104,72,1014,4,WR,WaddJa00
George Pickens,2024,23,PIT,103,59,900,3,WR,PickGe00
Jake Ferguson,2023,24,DAL,102,71,761,5,TE,FergJa00
Elijah Moore,2024,24,CLE,102,61,538,1,WR,MoorEl00
Rashee Rice,2023,23,KAN,102,79,938,7,WR,RiceRa01
Marquise Brown,2023,26,ARI,101,51,574,4,WR,BrowMa04
Rome Odunze,2024,22,CHI,101,54,734,3,WR,OdunRo00
JuJu Smith-Schuster,2022,26,KAN,101,78,933,3,WR,SmitJu00
Justin Jefferson,2023,24,MIN,100,68,1074,5,WR,JeffJu00
Jerry Jeudy,2022,23,DEN,100,67,972,6,WR,JeudJe00
Cooper Kupp,2024,31,LAR,100,67,710,6,WR,KuppCo00
Allen Lazard,2022,27,GNB,100,60,788,6,WR,LazaAl00
Khalil Shakir,2024,24,BUF,100,76,821,4,WR,ShakKh00
Jordan Addison,2024,22,MIN,99,63,875,9,WR,AddiJo00
Nico Collins,2024,25,HOU,99,68,1006,7,WR,CollNi00
Tyler Boyd,2023,29,CIN,98,67,667,2,WR,BoydTy00
Josh Downs,2023,22,IND,98,68,771,2,WR,DownJo00
Evan Engram,2022,28,JAX,98,73,766,4,TE,EngrEv00
Pat Freiermuth,2022,24,PIT,98,63,732,2,TE,FreiPa00
Cooper Kupp,2022,29,LAR,98,75,812,6,WR,KuppCo00
Xavier Worthy,2024,21,KAN,98,59,638,6,WR,WortXa00
A.J. Brown,2024,27,PHI,97,67,1079,7,WR,BrowAJ00
